2020-01-10T23:45:16.360Z,10,2.3,"22km SSE of Helena, Oklahoma"
2020-01-10T23:44:31.240Z,6.3,0.72,"22km N of Ridgecrest, CA"
2020-01-10T23:44:00.800Z,5.44,0.57,"23km N of Ridgecrest, CA"
2020-01-10T23:30:52.550Z,16.19,2.37,"2km NE of Colton, CA"
2020-01-10T23:13:42.395Z,124.8,2.5,"79km E of Old Iliamna, Alaska"
2020-01-10T22:57:45.697Z,10,2.6,"69km ENE of Old Faithful Geyser, Wyoming"
2020-01-10T22:54:47.110Z,5.75,0.93,"15km ESE of Little Lake, CA"
2020-01-10T22:54:26.428Z,10,5.4,"110km SW of Raoul Island, New Zealand"
2020-01-10T22:53:19.270Z,6.28,0.62,"17km W of Searles Valley, CA"
2020-01-10T22:40:31.860Z,4.38872385,2.63,"15km NW of Lindsay, Oklahoma"
2020-01-10T22:27:43.393Z,10,3.9,"11km SSE of Guanica, Puerto Rico"
2020-01-10T22:26:25.000Z,9,5.2,"4km SSW of Indios, Puerto Rico"
2020-01-10T22:22:21.381Z,20.1,2.2,"17km SSW of Big Lake, Alaska"
2020-01-10T22:16:10.050Z,3.97,1.1,"5km NE of Coso Junction, CA"
2020-01-10T22:10:33.260Z,4.47,1.83,"5km NE of Coso Junction, CA"
2020-01-10T22:07:15.166Z,2.5,0.9,"40km E of Yerington, Nevada"
2020-01-10T21:46:41.310Z,1.41,1.28,"7km NW of The Geysers, CA"
2020-01-10T21:44:25.790Z,8,3.34,"7km SSE of Guanica, Puerto Rico"
2020-01-10T21:41:51.560Z,3.83,1.1,"5km NE of Coso Junction, CA"
2020-01-10T21:41:36.300Z,2.38,1.19,"8km E of Coso Junction, CA"
2020-01-10T21:41:33.090Z,1.61,0.71,"2km NE of The Geysers, CA"
2020-01-10T21:41:13.902Z,37.1,1.2,"8km NNW of Tanaina, Alaska"
2020-01-10T21:27:57.570Z,6.04,0.53,"15km W of Searles Valley, CA"
2020-01-10T21:27:18.500Z,12.6,1.4,"25km NNW of Hawthorne, Nevada"
2020-01-10T21:20:56.345Z,9.7,1.8,"122km W of Cantwell, Alaska"
2020-01-10T21:15:55.509Z,81.4,1.4,"22km SSW of Cantwell, Alaska"
2020-01-10T21:13:36.920Z,8.25,1.24,"19km ESE of Little Lake, CA"
2020-01-10T21:01:43.399Z,65,3.5,"72km SSE of Cantwell, Alaska"
2020-01-10T21:00:48.292Z,22.1,2.7,"78km SSE of False Pass, Alaska"
